0	"Perfect"	Open Input/other anomaly	RS Anomaly	Ic Anomaly	Could not screen. Needs re-mount / re-screen	PCB	LOC	Note	More notes	
w31_r13_c08	x					20190409_C	sent to BICEP 20190422			
w31_r13_c09	x					20190409_C	sent to BICEP 20190422			
w31_r14_c00		x				20190409_C	B08 gel-pak "BICEP w31 IMPERFECT ARCHIVE"			
w31_r14_c01	x					20190409_C	sent to BICEP 20190422			
w31_r14_c02	x					20190409_C	sent to BICEP 20190422			
w31_r14_c03	x					20190409_C	sent to BICEP 20190422			
w31_r14_c04	x					20190409_C	sent to BICEP 20190422			
w31_r14_c05	x					20190409_C	sent to BICEP 20190422			
w31_r14_c06	x					20190423_B	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r14_c07		x				20190423_B	DM Radio - dip probe			
w31_r14_c08	x					20190409_C	sent to BICEP 20190422			
w31_r14_c09	x					20190409_C	sent to BICEP 20190422			
w31_r15_c01		x				20190409_C	B08 gel-pak "BICEP w31 IMPERFECT ARCHIVE"			
w31_r15_c02	x					20190409_C	sent to BICEP 20190422			
w31_r15_c03		x				20190409_C	B08 gel-pak "BICEP w31 IMPERFECT ARCHIVE"			
w31_r15_c04		x				20190409_C	DM Radio			
w31_r15_c05	x					20190409_C	sent to BICEP 20190422			
w31_r15_c06	x					20190409_C	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r15_c07	x					20190423_B	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r15_c08	x					20190423_B	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r16_c01					x	20190403_A	B08 gel-pak "BICEP NEED RE-SCREEN"			
w31_r16_c02					x	20190403_A	B08 gel-pak "BICEP NEED RE-SCREEN"			
w31_r16_c03	x					20190409_C	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r16_c04			6			20190409_C	sent to BICEP 20190422	non-sinusoidal vPhi		
w31_r16_c05	x					20190409_C	sent to BICEP 20190422			
w31_r16_c06	x					20190409_C	sent to BICEP 20190422			
w31_r16_c07	x					20190403_A	sent to BICEP 20190422			
w31_r16_c08	x					20190423_B	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r17_c02	x					20190403_A	sent to BICEP 20190422			
w31_r17_c03					x	20190403_A	sent to BICEP 20190422			
w31_r17_c04	x					20190403_A	B08 gel-pak "BICEP w31 PERFECT CHIPS" Shipped to BICEP 20191015			
w31_r17_c05					x	20190403_A	B08 gel-pak "BICEP NEED RE-SCREEN"			
w31_r17_c06					x	20190403_A	B08 gel-pak "BICEP NEED RE-SCREEN"			
w31_r17_c07		x				20190423_B	B08 gel-pak "BICEP w31 IMPERFECT ARCHIVE"			
w31_r18_c02					x	20190403_A	B08 gel-pak "BICEP NEED RE-SCREEN"			
